nt-1700	1932
nt-1701	22,408
nt-1702	293
nt-1703	Russia
nt-1704	Belgian Pro League
nt-1705	Miracle Man
nt-1706	Israel
nt-1707	Terry Jenkins
nt-1708	4
nt-1709	2
nt-1710	3 years
nt-1711	PKN Orlen SA
nt-1712	2
nt-1713	5
nt-1714	Peter Arundell
nt-1715	12
nt-1716	Reds
nt-1717	Si Jun
nt-1718	St. Anne-Immaculate Conception
nt-1719	3
nt-1720	Ryan Hall
nt-1721	13
nt-1722	Mask
nt-1723	4
nt-1724	32
nt-1725	22:20
nt-1726	1
nt-1727	None
nt-1728	East, Mideast, Midwest, West
nt-1729	2006
nt-1730	Olympic Games
nt-1731	5
nt-1732	1
nt-1733	2
nt-1734	2
nt-1735	Lorraine
nt-1736	25
nt-1737	Soviet Union
nt-1738	Gavin Rae
nt-1739	1
nt-1740	Nicholas Addlery
nt-1741	Transport
nt-1742	Nikos Christodoulakis
nt-1743	4
nt-1744	Boeing, General Dynamics, Airbus Group, Finmeccanica, United Technologies Corporation, Thales Group, Honeywell, SAFRAN, Computer Sciences Corp., Rolls-Royce, General Electric, ITT Corp.
nt-1745	3
nt-1746	Risto Ryti
nt-1747	2002
nt-1748	Portland
nt-1749	World Series by Nissan
nt-1750	5
nt-1751	6
nt-1752	Roberto Rolfo
nt-1753	Hugo Boss II, Iataia, Capriccio of Rhu
nt-1754	Finland
nt-1755	Real Madrid B
nt-1756	7
nt-1757	Cayman Islands, Saint Kitts and Nevis
nt-1758	57
nt-1759	Remington-Beals Army Model Revolver
nt-1760	9
nt-1761	1995-2000
nt-1762	5
nt-1763	1913
nt-1764	Luke Summerfield
nt-1765	31 August 2007
nt-1766	73
nt-1767	Finland
nt-1768	19,295,000
nt-1769	29,734
nt-1770	Monterrey
nt-1771	Pando
nt-1772	6
nt-1773	1992
nt-1774	Pearl Air Services, United Airlines Limited
nt-1775	597
nt-1776	10
nt-1777	8
nt-1778	Colombia
nt-1779	Yes
nt-1780	Mercedes Mata (VEN)
nt-1781	Charles Francis
nt-1782	Boaz Sharabi
nt-1783	15 A, 15 A/20 A, 2.5 A
nt-1784	4785
nt-1785	1st
nt-1786	6
nt-1787	1
nt-1788	Racing For Wildlife 200
nt-1789	6
nt-1790	Summit Bridge
nt-1791	Riccardo Patrese
nt-1792	Y
nt-1793	When I Think About Jesus
nt-1794	£174,000
nt-1795	Christophe Bouchut, Fabrizio Gollin
nt-1796	5
nt-1797	Super Chinese World 2
nt-1798	2
nt-1799	8
