nt-1900	2
nt-1901	5
nt-1902	Cats
nt-1903	1
nt-1904	1995
nt-1905	0
nt-1906	2006 AFC U-17 Championship
nt-1907	27
nt-1908	1898
nt-1909	5
nt-1910	below
nt-1911	10
nt-1912	10
nt-1913	Fred Rehor
nt-1914	Bootmaker
nt-1915	Sophie Pascoe
nt-1916	5
nt-1917	5
nt-1918	Barbados
nt-1919	5
nt-1920	AEP Building
nt-1921	USS Lawrence (DD-8)
nt-1922	2
nt-1923	66,278
nt-1924	1994
nt-1925	Sibel Siber
nt-1926	Lorenzo Granai
nt-1927	Cádiz
nt-1928	Denver
nt-1929	Akihito
nt-1930	1982
nt-1931	Telugu
nt-1932	Tianjin Bridgestone
nt-1933	2008
nt-1934	Animethon
nt-1935	Geir Vídalín
nt-1936	Light
nt-1937	Mark Skaife
nt-1938	Die Kinder sprechen Afrikaans.
nt-1939	340.90
nt-1940	2
nt-1941	2
nt-1942	4–1
nt-1943	Russia, Ethiopia, Belarus
nt-1944	5
nt-1945	2.0
nt-1946	Walt Disney World Speedway, Florida
nt-1947	Ha-208
nt-1948	15
nt-1949	13
nt-1950	Bronze
nt-1951	80.84
nt-1952	European Architectural Year
nt-1953	6
nt-1954	105
nt-1955	9
nt-1956	September 26
nt-1957	8
nt-1958	3
nt-1959	If These Walls Could Talk 2
nt-1960	11
nt-1961	22
nt-1962	Château de Baugé
nt-1963	KBFR
nt-1964	1
nt-1965	6
nt-1966	1997
nt-1967	October
nt-1968	Detroit Tigers
nt-1969	1976
nt-1970	CH, LL
nt-1971	above
nt-1972	4
nt-1973	13
nt-1974	Lucy Evangelista
nt-1975	Warren Tredrea
nt-1976	15
nt-1977	Western Michigan
nt-1978	Ja.
nt-1979	67,400 GRT
nt-1980	Solid particulate
nt-1981	3
nt-1982	7, 4
nt-1983	54,075
nt-1984	Corinthians
nt-1985	16
nt-1986	3
nt-1987	5
nt-1988	1979
nt-1989	1993
nt-1990	927
nt-1991	1.8
nt-1992	12
nt-1993	8
nt-1994	3
nt-1995	United States, Ecuador
nt-1996	Progressive Conservative
nt-1997	6
nt-1998	Cosimo de' Medici
nt-1999	Arsenal
