nt-300	8
nt-301	115
nt-302	5
nt-303	5
nt-304	17
nt-305	Czechoslovakia
nt-306	more
nt-307	7
nt-308	12
nt-309	Shot put
nt-310	2
nt-311	1920
nt-312	No
nt-313	Alexandra Plaza
nt-314	3
nt-315	No
nt-316	Hot Thing
nt-317	February 2012
nt-318	17 weeks
nt-319	3
nt-320	Wimbledon
nt-321	7
nt-322	76265
nt-323	1988, 1989
nt-324	1968
nt-325	Wayne Gretzky
nt-326	60 to 64
nt-327	2
nt-328	8
nt-329	Katja Saarinen
nt-330	518
nt-331	Chuck Thompson
nt-332	7
nt-333	United States
nt-334	increase
nt-335	Bayern Munich, Borussia Dortmund
nt-336	Edwin R. Clarke Library
nt-337	Ten Wood
nt-338	Harry Howell, February 22, 2009
nt-339	Brian Carney
nt-340	4
nt-341	3
nt-342	Samantha Smith
nt-343	Asian Championships
nt-344	317
nt-345	Lester B. Pearson
nt-346	8
nt-347	Australian Open
nt-348	Biu Chun Rangers
nt-349	Mount Pinchot, Mount Dubois, Mount Tom, Mount Gabb, Mount Morgan, Mount Kaweah, Mount Darwin, Mount Keith, Mount Humphreys, Red Slate Mountain, Mount Ritter
nt-350	4
nt-351	less
nt-352	perfect fifth, septendecimal tritone
nt-353	Erik Lesser
nt-354	more
nt-355	Steven Shepp
nt-356	6
nt-357	4
nt-358	Geir Vídalín
nt-359	3
nt-360	3
nt-361	Runner-up
nt-362	Nigeria LNG
nt-363	Silvia Sperber (FRG)
nt-364	Tiger Woods
nt-365	January 1868
nt-366	ABC, HBO
nt-367	21
nt-368	2006
nt-369	France
nt-370	1986
nt-371	22 October 1976
nt-372	August 7
nt-373	5
nt-374	2
nt-375	That Girl
nt-376	13
nt-377	3
nt-378	Ovie Soko
nt-379	Showdance
nt-380	No
nt-381	Robson Green & Jerome Flynn
nt-382	Boxing
nt-383	793
nt-384	Motherwell
nt-385	No
nt-386	Paula Jean Myers-Pope (USA)
nt-387	'Timber' by Pitbull feat. Ke$ha
nt-388	1
nt-389	Over cooked
nt-390	62
nt-391	i
nt-392	111
nt-393	January
nt-394	7
nt-395	65 m
nt-396	Valencia CC
nt-397	3
nt-398	2,800
nt-399	Boston College
