nt-0	2004
nt-1	Bangkok, Thailand
nt-2	Wolfe Tones
nt-3	12,467
nt-4	Derby County
nt-5	5
nt-6	Varbergs GIF (D3)
nt-7	Lake Palas Tuzla
nt-8	32
nt-9	Siim Ennemuist, Andri Aganits
nt-10	4
nt-11	Bangkok, Thailand
nt-12	2
nt-13	1999-2000
nt-14	Kim Yu-na
nt-15	New Delhi, India
nt-16	58
nt-17	Abbott
nt-18	17
nt-19	3
nt-20	The Sound Of Trees, OK Alright A Huh O Yeah
nt-21	KM-45 Series
nt-22	Arataki ii, Toia
nt-23	Morocco, France, United States, Spain
nt-24	Sweden
nt-25	4
nt-26	Málaga CF
nt-27	20
nt-28	Windows
nt-29	1694
nt-30	4.03
nt-31	8
nt-32	Jiang Qing
nt-33	Draco
nt-34	Iryna Shpylova
nt-35	Marisela Moreno Montero
nt-36	Princeton
nt-37	4
nt-38	4
nt-39	8
nt-40	2
nt-41	2014
nt-42	459,640
nt-43	Pagham
nt-44	1
nt-45	Dhaasippen or Jothi Malar
nt-46	10
nt-47	5–1 Shane Carwin
nt-48	630
nt-49	2
nt-50	Indonesia
nt-51	4
nt-52	RC Toulonnais
nt-53	14
nt-54	Theodis
nt-55	1987
nt-56	504
nt-57	3
nt-58	10
nt-59	Surf's Up
nt-60	2
nt-61	36
nt-62	Vijayendra Prasad
nt-63	Yes
nt-64	22
nt-65	4
nt-66	The Name of the Game
nt-67	9
nt-68	Antelope
nt-69	1960
nt-70	1
nt-71	May
nt-72	0
nt-73	145
nt-74	Nigel Mansell, Alain Prost
nt-75	15
nt-76	7
nt-77	2
nt-78	1996
nt-79	7
nt-80	less
nt-81	Chevrolet
nt-82	3
nt-83	Tajik
nt-84	2005
nt-85	George Burley
nt-86	Serbian Progressive Party
nt-87	David Davie Shelby
nt-88	0
nt-89	5
nt-90	Stapleton
nt-91	5
nt-92	Jaafar Mohamed
nt-93	1
nt-94	Hardcore TV #21
nt-95	5,000 m, 10,000 m
nt-96	5
nt-97	Denmark Rifle 1889
nt-98	8
nt-99	9
