nt-600	3
nt-601	Wave Conqueror, Wave Commander
nt-602	Douglas Hines
nt-603	United States (USA-1), United States (USA-2)
nt-604	Poli Ejido
nt-605	Conservative Party
nt-606	3
nt-607	6
nt-608	Antil Plains Aerodrome
nt-609	4
nt-610	Kitty Wells' Golden Favorites
nt-611	71,496
nt-612	England
nt-613	2003
nt-614	Beit Yitzhak
nt-615	Palestra Itália-SP
nt-616	Luna 15
nt-617	5
nt-618	Henry W. Baker House
nt-619	5
nt-620	male
nt-621	Costa Rica
nt-622	10, 17
nt-623	Bbox Bouygues Telecom
nt-624	14
nt-625	4:27
nt-626	Žabalj
nt-627	Newport
nt-628	1
nt-629	10.5
nt-630	2
nt-631	21 December 1790
nt-632	2
nt-633	Fung Foh Do Yan
nt-634	Your Party (YP)
nt-635	The Maltese Falcon, Malaya
nt-636	200 mi (320 km)
nt-637	8
nt-638	1993
nt-639	Ben McDonald
nt-640	Louisville
nt-641	Revengers Tragedy
nt-642	Viterbo University
nt-643	The Phantom of the Opera
nt-644	1986, 1989
nt-645	EAFF East Asian Cup
nt-646	Spokane
nt-647	10
nt-648	Dobupal
nt-649	7,000
nt-650	Dario Cologna
nt-651	Tonganoxie
nt-652	Gabriela Schaaf
nt-653	Brazil
nt-654	Catherine Jean Milligan
nt-655	5th
nt-656	15
nt-657	6
nt-658	Jupiler League
nt-659	6
nt-660	2
nt-661	2
nt-662	Fay Crocker
nt-663	Teen Choice Awards
nt-664	Ogden Driskill
nt-665	24 October 2007
nt-666	24,972
nt-667	Embrace of the Vampire
nt-668	5
nt-669	Distributor EP
nt-670	4
nt-671	4
nt-672	Kimi Räikkönen (McLaren-Mercedes), Fernando Alonso (Renault), Jenson Button (BAR-Honda)
nt-673	Westmeath
nt-674	Pune Strykers
nt-675	Black Hawk Down
nt-676	mS24
nt-677	4
nt-678	4
nt-679	9
nt-680	Dominican Republic
nt-681	8
nt-682	1990, 1991, 1997, 2008, 2014
nt-683	173,805
nt-684	The Rolling Stones
nt-685	32
nt-686	10
nt-687	Drama Desk Awards, Tony Awards
nt-688	Jerez
nt-689	15000
nt-690	Okayama, Bizen-Mikado
nt-691	2
nt-692	10
nt-693	1030
nt-694	1934
nt-695	Rubberneck
nt-696	6
nt-697	22
nt-698	Argentina
nt-699	3
