nt-400	5
nt-401	3–4
nt-402	mobile phones
nt-403	14.0%
nt-404	yes
nt-405	6
nt-406	2005
nt-407	Mumbai
nt-408	2
nt-409	Porsche 911 Carrera RSR
nt-410	Anime Friends
nt-411	12
nt-412	Germany
nt-413	Stanford
nt-414	Yes
nt-415	15,695
nt-416	56 m
nt-417	4
nt-418	15
nt-419	\Cat Amongst the Pigeons\"
nt-420	Stay Around
nt-421	6
nt-422	Antologie, Arven
nt-423	4
nt-424	Iceland
nt-425	3
nt-426	3
nt-427	LaRon Landry
nt-428	7
nt-429	Antipolo
nt-430	1
nt-431	2
nt-432	203.0
nt-433	7
nt-434	6
nt-435	Liverpool
nt-436	2003
nt-437	Basket Rimini Crabs, Aurora Basket Jesi, Andrea Costa Imola
nt-438	3
nt-439	46
nt-440	10
nt-441	21
nt-442	6
nt-443	Miyazaki Maglev Test Track
nt-444	10
nt-445	2013
nt-446	4
nt-447	2
nt-448	Music and Lyrics, Dan in Real Life, I Think I Love My Wife
nt-449	5
nt-450	46
nt-451	Davey Richards
nt-452	3:40
nt-453	2
nt-454	11
nt-455	До свидания, See You Later (Do Svidaniya)
nt-456	Arzew GL4Z
nt-457	51130
nt-458	6
nt-459	6
nt-460	40,000
nt-461	7,824
nt-462	1976
nt-463	2,192
nt-464	Russia
nt-465	5
nt-466	Waitakere United
nt-467	Huelva
nt-468	Dorian Grays Portræt
nt-469	2008
nt-470	29
nt-471	8
nt-472	#1 NC State
nt-473	Veteran, Fairfield
nt-474	Nigel Mansell
nt-475	50 Cent: Bulletproof
nt-476	39
nt-477	Gordon Dahlgren, Ray Johnson
nt-478	Debra Lorraine Estes
nt-479	2
nt-480	Cylinder
nt-481	1
nt-482	26 February 2010
nt-483	3.5
nt-484	Michel Deuzet
nt-485	Romney
nt-486	9,997
nt-487	9717
nt-488	1
nt-489	Morris H. Wickman (C), Charles Fred White (Prog)
nt-490	60
nt-491	Cincinnati Saints
nt-492	4
nt-493	159
nt-494	2
nt-495	Son Of Niah
nt-496	USS Lawrence (DD-8)
nt-497	14.83
nt-498	3
nt-499	McCain
