nt-700	1999
nt-701	Mistadobalina
nt-702	2
nt-703	Zeta Alpha
nt-704	3
nt-705	5
nt-706	Maison Saint-Gabriel
nt-707	Mark Blutman & Howard Busgang
nt-708	3,729.7
nt-709	1
nt-710	Saturday, May 11
nt-711	Industrial Exposition Building
nt-712	305,008
nt-713	3
nt-714	I say my body
nt-715	twelfth
nt-716	3
nt-717	2000
nt-718	Inge Bjarne Storebø
nt-719	F8
nt-720	5
nt-721	Chicago Road Informational Designation
nt-722	Mumbai
nt-723	4.90 m
nt-724	Liam Dickinson
nt-725	20
nt-726	4
nt-727	Belarus
nt-728	Bertram Schäfer Racing
nt-729	6
nt-730	6
nt-731	1991
nt-732	7
nt-733	3
nt-734	CMC Cruiser, Delta Mini Cruiser
nt-735	Helidrive
nt-736	2
nt-737	Jacksonville Jaguars
nt-738	Nelson the Naughty Arsonist
nt-739	António Borges, Miguel Sottomayor
nt-740	Peugeot 207 S2000
nt-741	Monika Bejnar
nt-742	Gunnar Il Professore Gren
nt-743	长寿镇 - Chang Shou Zhen
nt-744	7
nt-745	Crest Whitestrips Classic
nt-746	Lucien Favre
nt-747	2002
nt-748	3
nt-749	Stansly Maponga
nt-750	276
nt-751	2
nt-752	Texas
nt-753	more
nt-754	8
nt-755	Craig Stadler
nt-756	Garra Dembele
nt-757	8
nt-758	yes
nt-759	Olympic Games
nt-760	F
nt-761	1928
nt-762	Central American and Caribbean Games
nt-763	3
nt-764	3
nt-765	2
nt-766	19
nt-767	Rui Conceição
nt-768	Cockatrice
nt-769	2012
nt-770	School 73
nt-771	Raphaël Ibañez
nt-772	UEFA Champions League
nt-773	Aprilia, Yamaha
nt-774	10
nt-775	-0.4%, +0.4%, +0.2%, -0.1%, -0.1%
nt-776	8
nt-777	9
nt-778	Russia
nt-779	1
nt-780	3
nt-781	KS Skenderbeu Korce
nt-782	10
nt-783	Volume 1, Volume 2, Volume 3, Volume 4, Volume 5, Volume 6, Volume 7, Volume 8, Volume 9
nt-784	1:20:34
nt-785	18
nt-786	Bo'ness United
nt-787	0
nt-788	20
nt-789	Paul Moriarty
nt-790	2
nt-791	FS1
nt-792	3
nt-793	Channel 4
nt-794	3
nt-795	2
nt-796	2
nt-797	Newcastle Airport
nt-798	Le colonel
nt-799	Bulgaria, Spain
