nt-200	30
nt-201	124935
nt-202	Sanuki
nt-203	Nezir Jaupaj (PKSH) (2.63 %)
nt-204	8
nt-205	5
nt-206	146.080
nt-207	Harvard Mark I – IBM ASCC
nt-208	Roch Pinard
nt-209	Pixiedust
nt-210	25
nt-211	Round of 16
nt-212	6
nt-213	Amplistan
nt-214	Sweden Democrats
nt-215	CHW
nt-216	\You're Gettin' to Me Again\
nt-217	Château de Pouancé
nt-218	18th
nt-219	Indira Gandhi Peace Prize for Disarmament and Development
nt-220	Myron Greenberg
nt-221	Dani Sordo, Marc Marti
nt-222	United States lightship LV-72
nt-223	1998
nt-224	Cornell University
nt-225	Ciudad Capital
nt-226	December 21
nt-227	1999
nt-228	39
nt-229	T.V. SivaraoPantulu
nt-230	Dario Cologna, Johan Olsson, Daniel Richardsson, Iivo Niskanen
nt-231	1993
nt-232	4
nt-233	17
nt-234	Tianhe Stadium, Guangzhou
nt-235	WIT Georgia
nt-236	Willie Robinson
nt-237	10
nt-238	Yes
nt-239	2010
nt-240	First Canadian Place
nt-241	1982/83
nt-242	80 t
nt-243	1.75
nt-244	5
nt-245	Natasha 'Nat' Wilson
nt-246	Russia
nt-247	7 years
nt-248	1
nt-249	6
nt-250	1
nt-251	33
nt-252	1
nt-253	3
nt-254	RTÉ Studios
nt-255	2010/11
nt-256	8
nt-257	Herogasm
nt-258	3
nt-259	Cheat on you
nt-260	Helen Oxenbury
nt-261	1.070
nt-262	January
nt-263	29.2
nt-264	0
nt-265	3rd
nt-266	García, Rodríguez
nt-267	7
nt-268	28 February 2012
nt-269	Leeds United
nt-270	United States
nt-271	1911
nt-272	Mercedes-Benz E320 Bluetec
nt-273	AL-31
nt-274	13
nt-275	14
nt-276	16
nt-277	5
nt-278	2
nt-279	5
nt-280	34
nt-281	6
nt-282	24
nt-283	3
nt-284	18
nt-285	Jean-Philippe Ruggia
nt-286	Yes, most trains are operational.
nt-287	1
nt-288	John and Eliza Barr Patterson House
nt-289	Minnesota Vikings
nt-290	33.56%, 21.02%, 14.52%, 27.89%
nt-291	8
nt-292	4
nt-293	John Mack
nt-294	14
nt-295	4
nt-296	World Championships
nt-297	Tony Awards, Drama Desk Awards
nt-298	12
nt-299	Away
