nt-1500	2001
nt-1501	2
nt-1502	6
nt-1503	2
nt-1504	5
nt-1505	211
nt-1506	56000
nt-1507	Haltwhistle, Ireshopeburn, Seaham, Sunderland, Wall, Weardale, Whitaside
nt-1508	South Carolina, Kentucky
nt-1509	2001
nt-1510	Harriet Churchill
nt-1511	10
nt-1512	true
nt-1513	Spain
nt-1514	Marcy Kaptur
nt-1515	6
nt-1516	1963
nt-1517	16
nt-1518	Jim Rathmann2
nt-1519	Netherlands
nt-1520	Atlanta, Atlanta
nt-1521	3
nt-1522	Durst Welcome Center
nt-1523	24
nt-1524	80
nt-1525	2003
nt-1526	27-May-75
nt-1527	yes
nt-1528	Boaz Sharabi
nt-1529	Chelsea
nt-1530	Onn Jaafar, June 1, 1947 to May 18, 1950, No party
nt-1531	January 4, 1994
nt-1532	Skeet 1, Improved Cylinder, Skeet 2 (light Mod.), Modified, Improved Modified, Full, Extra Full, Turkey
nt-1533	2
nt-1534	Pulse
nt-1535	4
nt-1536	Police Woman 2002
nt-1537	Guadalupe County
nt-1538	5
nt-1539	Ek is lief vir jou.
nt-1540	9
nt-1541	Kwamé
nt-1542	1
nt-1543	$4,550,000
nt-1544	more
nt-1545	Daniel Böltz
nt-1546	4
nt-1547	7
nt-1548	7
nt-1549	3
nt-1550	7
nt-1551	4
nt-1552	before
nt-1553	2
nt-1554	South Korea
nt-1555	2
nt-1556	2
nt-1557	Orange, Alexandria and Manassas Railroad, Virginia and North Carolina Railroad
nt-1558	1965 Palm Sunday tornado outbreak
nt-1559	Kim Wilde (Download-only)
nt-1560	2006
nt-1561	Kilkenny
nt-1562	Jack Fairman
nt-1563	2000
nt-1564	Ricky Landell
nt-1565	1995
nt-1566	Asia
nt-1567	Indianapolis Colts
nt-1568	2
nt-1569	15.5
nt-1570	Essex Engine
nt-1571	AT90S1200
nt-1572	2
nt-1573	Mustapha Jaafar
nt-1574	2003
nt-1575	1993
nt-1576	Bayern Munich, Borussia Dortmund
nt-1577	11
nt-1578	Standard 6 A/S, Standard 8, Diplomat
nt-1579	Rayleigh Rockets
nt-1580	Kita Tertawa
nt-1581	On Preaching the Word of God
nt-1582	won
nt-1583	6
nt-1584	Serbs, Germans
nt-1585	1984
nt-1586	Paul Kelleway
nt-1587	30
nt-1588	Kishinev, Brunswick
nt-1589	September 20, 2007
nt-1590	Womesh Chunder Bonnerjee
nt-1591	3,791, 35,166
nt-1592	7
nt-1593	Egypt
nt-1594	6
nt-1595	Andy Hughes, Adrian Whitbread, Alex Smith
nt-1596	Canada
nt-1597	3
nt-1598	Spain
nt-1599	Lester Mills Crawford, D.V.M., Ph.D.
