nt-1800	10
nt-1801	2
nt-1802	6
nt-1803	Millbrook 27
nt-1804	Onjo
nt-1805	22
nt-1806	2009
nt-1807	2
nt-1808	5
nt-1809	1994
nt-1810	23,700,000
nt-1811	2
nt-1812	Amelia Victoria Vega Polanco (17 years old)
nt-1813	Portugal
nt-1814	European Championships
nt-1815	8
nt-1816	2
nt-1817	Freeman 119.78
nt-1818	5
nt-1819	Target Racing
nt-1820	Shenzhen, Dongguan, Jinan, Quanzhou, Wuxi, Suzhou, Suqian, Xinyang, Ezhou, Suihua, Qiqihar, Jinzhou, Langfang, Huai'an, Yuzhou, Heze, Zhuzhou
nt-1821	France, Germany, Norway, Sweden
nt-1822	2
nt-1823	Prokom Trefl Sopot
nt-1824	Derviş Eroğlu
nt-1825	7
nt-1826	2
nt-1827	8,754
nt-1828	8
nt-1829	5
nt-1830	8
nt-1831	Hunslet
nt-1832	Mexico
nt-1833	Tajik
nt-1834	3
nt-1835	Jimmie Johnson
nt-1836	2
nt-1837	Rajanna
nt-1838	45
nt-1839	Kelly Bates
nt-1840	Gretna
nt-1841	13
nt-1842	24 December 1994
nt-1843	Heidi Hall in Holby City
nt-1844	Ben Hogan
nt-1845	Cuttack
nt-1846	14
nt-1847	2011
nt-1848	8
nt-1849	77
nt-1850	Michael van Gerwen
nt-1851	Ni
nt-1852	5
nt-1853	30,000
nt-1854	3
nt-1855	Graford
nt-1856	1898
nt-1857	2010
nt-1858	Co Stompé, Jelle Klaasen
nt-1859	735
nt-1860	Poland
nt-1861	2005
nt-1862	Sweden
nt-1863	McCoist: 3, Hateley: 4 - Hateley
nt-1864	2 years
nt-1865	14 November 1933
nt-1866	video, audio/video
nt-1867	Ric Flair
nt-1868	12
nt-1869	New Zealand
nt-1870	The Grove Hotel
nt-1871	3
nt-1872	S01 has electronic Vibration Reduction, S30 does not.
nt-1873	10
nt-1874	France
nt-1875	2
nt-1876	Derby County
nt-1877	1
nt-1878	3
nt-1879	Democratic
nt-1880	7
nt-1881	less
nt-1882	2
nt-1883	4
nt-1884	Gabriela Schaaf
nt-1885	EHC Regensburg
nt-1886	Dikembe Mutombo
nt-1887	6
nt-1888	Warren Tredrea
nt-1889	1958
nt-1890	Four aces
nt-1891	December 20, 1967
nt-1892	20
nt-1893	Delaware
nt-1894	5
nt-1895	$597,970
nt-1896	Computer and Video Games, Computer Gaming World
nt-1897	1976
nt-1898	5
nt-1899	Lee Yeong-Ha
