nt-100	9
nt-101	Belgium, Hungary, Netherlands, Spain, Scotland, Czechoslovakia, Italy, Denmark
nt-102	Überlingen
nt-103	2:37.70
nt-104	Pete Doherty
nt-105	57
nt-106	Luke Summerfield, Tom Eaves, Jon Taylor, Darren Jones, Adam Reach, Ryan Woods, Curtis Main, Jermaine Grandison, Dave McAllister, Aaron Wildig, Asa Hall, Gozie Ugwu, Connor Goldson, Nicky Wroe, Tom Bradshaw
nt-107	Nicky English
nt-108	10
nt-109	119
nt-110	baroque
nt-111	33 years
nt-112	Abu al-Duhur Military Airbase
nt-113	$2.7 billion
nt-114	Hidalgo
nt-115	Iryna Herashchenko
nt-116	20
nt-117	1985
nt-118	Conservatives
nt-119	4
nt-120	South Korea
nt-121	Tensile Modulus
nt-122	2009
nt-123	Tikamgarh
nt-124	1
nt-125	Mittersill goods aerial tramway, Torre Sant Sebastia
nt-126	Western Michigan, North Dakota
nt-127	UE Lleida
nt-128	Usain Bolt
nt-129	2003
nt-130	ballet
nt-131	68,364
nt-132	47
nt-133	1
nt-134	South Africa SABS 164-2 (3 pin)
nt-135	5000
nt-136	24
nt-137	Zimbabwe
nt-138	France
nt-139	Men's 25 m rapid fire pistol
nt-140	Best actor: Drama
nt-141	18
nt-142	Ottawa Senators
nt-143	Villa Nueva
nt-144	11th
nt-145	6
nt-146	3
nt-147	5
nt-148	4,874
nt-149	No.774
nt-150	Eiði, Elduvík, Funningur
nt-151	Seville
nt-152	120GB HDD or 64GB SSD
nt-153	10
nt-154	Pan troglodytes, Nomascus leucogenys
nt-155	November 2009
nt-156	2
nt-157	Lake Van
nt-158	Mount Whitney
nt-159	10
nt-160	10
nt-161	5th
nt-162	3
nt-163	Vokhid Shodiev - 12
nt-164	3,108
nt-165	15
nt-166	3:02.57
nt-167	BL26
nt-168	1995
nt-169	Royal Belfast Academical Institution, Campbell College
nt-170	Waverley
nt-171	2
nt-172	1
nt-173	1996
nt-174	28
nt-175	Sam Snead
nt-176	1:20:00
nt-177	NaN
nt-178	Yukon
nt-179	C7, D7, E7, G7, A7, B7
nt-180	26 years
nt-181	Ethiopia
nt-182	13
nt-183	Diamond
nt-184	December
nt-185	3
nt-186	3
nt-187	Tom Kiley
nt-188	Gunbird Special Edition / Gunbird 1&2
nt-189	Brisbane, Australia
nt-190	James Lee Goddard, M.D.
nt-191	2
nt-192	4
nt-193	3
nt-194	Marvel's The Avengers, Iron Man 3, Harry Potter and the Deathly Hallows – Part 2, The Dark Knight Rises, The Dark Knight, The Hunger Games: Catching Fire, The Hunger Games, Spider-Man 3, The Twilight Saga: New Moon, The Twilight Saga: Breaking Dawn - Part 2, The Twilight Saga: Breaking Dawn - Part 1, Pirates of the Caribbean: Dead Man's Chest, Iron Man 2, Harry Potter and the Deathly Hallows – Part 1, Shrek the Third, Man of Steel, Alice in Wonderland, Spider-Man, Pirates of the Caribbean: At World's End
nt-195	Julie Covington, Pussyfoot, Andy Gibb
nt-196	1976
nt-197	Frozen, 300: Rise of an Empire
nt-198	Columbia
nt-199	1
